R,U,L,N,K,replicate,seed,extinction_generation,extinction_status,final_generation,final_popsize
0,4.0,0.0,5000,10000,5,-6054839410393999379,1,extinct,1,0
0,4.0,0.2,5000,10000,1,3136392495989199947,1,extinct,1,0
0,4.0,0.2,5000,10000,2,3351176135037271496,1,extinct,1,0
0,4.0,0.2,5000,10000,3,-4710921850072918146,1,extinct,1,0
0,4.0,0.2,5000,10000,4,-1464677027587004148,1,extinct,1,0
0,4.0,0.2,5000,10000,5,-1757364522118385033,1,extinct,1,0
0,4.0,0.4,5000,10000,1,2347353476077388294,1,extinct,1,0
0,4.0,0.4,5000,10000,2,8283556373785313607,1,extinct,1,0
0,4.0,0.4,5000,10000,3,8297265501069744747,1,extinct,1,0
0,4.0,0.4,5000,10000,4,-4825346026648624618,1,extinct,1,0
0,4.0,0.4,5000,10000,5,7472702510387608978,1,extinct,1,0
0,4.0,0.6,5000,10000,1,6242104382436272084,1,extinct,1,0
0,4.0,0.6,5000,10000,2,5226505306743923823,1,extinct,1,0
0,4.0,0.6,5000,10000,3,5297224740405422375,1,extinct,1,0
0,4.0,0.6,5000,10000,4,3548059320384227398,1,extinct,1,0
0,4.0,0.6,5000,10000,5,9167614797294175528,1,extinct,1,0
0,4.0,0.8,5000,10000,1,-2994329397878828142,1,extinct,1,0
0,4.0,0.8,5000,10000,2,5393677523260169049,1,extinct,1,0
0,4.0,0.8,5000,10000,3,-5692020546218457237,1,extinct,1,0
0,4.0,0.8,5000,10000,4,-8476734174013042682,1,extinct,1,0
0,4.0,0.8,5000,10000,5,7687533302874562817,1,extinct,1,0
0,4.0,1.0,5000,10000,1,-6664240287476342604,1,extinct,1,0
0,4.0,1.0,5000,10000,2,6309506463770216406,1,extinct,1,0
0,4.0,1.0,5000,10000,3,-6753750731628277292,1,extinct,1,0
0,4.0,1.0,5000,10000,4,4713833120364301332,1,extinct,1,0
0,4.0,1.0,5000,10000,5,-3315133091693409557,1,extinct,1,0
0,4.5,0.0,5000,10000,1,761808388812108271,1,extinct,1,0
0,4.5,0.0,5000,10000,2,-384509034405424455,1,extinct,1,0
0,4.5,0.0,5000,10000,3,8213866823675521830,1,extinct,1,0
0,4.5,0.0,5000,10000,4,-5361395442410536565,1,extinct,1,0
0,4.5,0.0,5000,10000,5,5614847489379053619,1,extinct,1,0
0,4.5,0.2,5000,10000,1,-3618642940005490201,1,extinct,1,0
0,4.5,0.2,5000,10000,2,-1844396302095260299,1,extinct,1,0
0,4.5,0.2,5000,10000,3,-2094273022418546480,1,extinct,1,0
0,4.5,0.2,5000,10000,4,4570119288816594656,1,extinct,1,0
0,4.5,0.2,5000,10000,5,-5699143678938471085,1,extinct,1,0
0,4.5,0.4,5000,10000,1,-2559823116657706470,1,extinct,1,0
0,4.5,0.4,5000,10000,2,4293633148353910042,1,extinct,1,0
0,4.5,0.4,5000,10000,3,455748719314861087,1,extinct,1,0
0,4.5,0.4,5000,10000,4,-4135948954454642240,1,extinct,1,0
0,4.5,0.4,5000,10000,5,8706444482475691618,1,extinct,1,0
0,4.5,0.6,5000,10000,1,-2357303525825657205,1,extinct,1,0
0,4.5,0.6,5000,10000,2,-3782881785408086850,1,extinct,1,0
0,4.5,0.6,5000,10000,3,3685589527577241998,1,extinct,1,0
0,4.5,0.6,5000,10000,4,-2060320594385549033,1,extinct,1,0
0,4.5,0.6,5000,10000,5,-4810855470348932092,1,extinct,1,0
0,4.5,0.8,5000,10000,1,-8896776914853615087,1,extinct,1,0
0,4.5,0.8,5000,10000,2,-3481916061475542329,1,extinct,1,0
0,4.5,0.8,5000,10000,3,-2196158057862933377,1,extinct,1,0
0,4.5,0.8,5000,10000,4,-1504299398737728250,1,extinct,1,0
0,4.5,0.8,5000,10000,5,-5476500158348456025,1,extinct,1,0
0,4.5,1.0,5000,10000,1,-1365207710709594984,1,extinct,1,0
0,4.5,1.0,5000,10000,2,9106986266459032473,1,extinct,1,0
0,4.5,1.0,5000,10000,3,-518611690142958828,1,extinct,1,0
0,4.5,1.0,5000,10000,4,-3690605681337204721,1,extinct,1,0
0,4.5,1.0,5000,10000,5,-6279932609247310605,1,extinct,1,0
0,5.0,0.0,5000,10000,1,-7519672972105189135,1,extinct,1,0
0,5.0,0.0,5000,10000,2,-7291493643712444696,1,extinct,1,0
0,5.0,0.0,5000,10000,3,8142863846125066942,1,extinct,1,0
0,5.0,0.0,5000,10000,4,-5727241701022849565,1,extinct,1,0
0,5.0,0.0,5000,10000,5,-528163821988054660,1,extinct,1,0
0,5.0,0.2,5000,10000,1,8540365421256485139,1,extinct,1,0
0,5.0,0.2,5000,10000,2,-8950495399569231426,1,extinct,1,0
0,5.0,0.2,5000,10000,3,-1750944191535617944,1,extinct,1,0
0,5.0,0.2,5000,10000,4,-5790475309018083436,1,extinct,1,0
0,5.0,0.2,5000,10000,5,7992902076682560122,1,extinct,1,0
0,5.0,0.4,5000,10000,1,4724234679237001983,1,extinct,1,0
0,5.0,0.4,5000,10000,2,-7350347647442964789,1,extinct,1,0
0,5.0,0.4,5000,10000,3,7857285807580475400,1,extinct,1,0
0,5.0,0.4,5000,10000,4,-3267213669047067958,1,extinct,1,0
0,5.0,0.4,5000,10000,5,-7177152224190249286,1,extinct,1,0
0,5.0,0.6,5000,10000,1,-4488606259605498949,1,extinct,1,0
0,5.0,0.6,5000,10000,2,-7624259952409299832,1,extinct,1,0
0,5.0,0.6,5000,10000,3,-8032577503471055406,1,extinct,1,0
0,5.0,0.6,5000,10000,4,-7894040336205768067,1,extinct,1,0
0,5.0,0.6,5000,10000,5,-3822127781362473920,1,extinct,1,0
0,5.0,0.8,5000,10000,1,7826262134793386991,1,extinct,1,0
0,5.0,0.8,5000,10000,2,9029934489468258194,1,extinct,1,0
0,5.0,0.8,5000,10000,3,-2374064721713355646,1,extinct,1,0
0,5.0,0.8,5000,10000,4,7757831460175224152,1,extinct,1,0
0,5.0,0.8,5000,10000,5,-6997266554204208100,1,extinct,1,0
0,5.0,1.0,5000,10000,1,-817437659360550025,1,extinct,1,0
0,5.0,1.0,5000,10000,2,-3252158110045251333,1,extinct,1,0
0,5.0,1.0,5000,10000,3,-7831726832040751120,1,extinct,1,0
0,5.0,1.0,5000,10000,4,-2061517741252693902,1,extinct,1,0
0,5.0,1.0,5000,10000,5,4298152142725117279,1,extinct,1,0
2,0.0,0.0,5000,10000,1,6719246295915222194,,survived,500,10000
2,0.0,0.0,5000,10000,2,6920417493204571003,,survived,500,10000
2,0.0,0.0,5000,10000,3,6967702459758118106,,survived,500,10000
2,0.0,0.0,5000,10000,4,5794486410722115498,,survived,500,10000
2,0.0,0.0,5000,10000,5,6431681805860758394,,survived,500,10000
2,0.0,0.2,5000,10000,1,4254293051412597669,,survived,500,10000
2,0.0,0.2,5000,10000,2,-473874326976182910,,survived,500,10000
2,0.0,0.2,5000,10000,3,3262611896157048837,,survived,500,10000
2,0.0,0.2,5000,10000,4,2323671319626914899,,survived,500,10000
2,0.0,0.2,5000,10000,5,-8882695787428945667,,survived,500,10000
2,0.0,0.4,5000,10000,1,-3013312965087337756,,survived,500,10000
2,0.0,0.4,5000,10000,2,-2161631011728319290,,survived,500,10000
2,0.0,0.4,5000,10000,3,3661683877716361943,,survived,500,10000
2,0.0,0.4,5000,10000,4,-1610577532997275507,,survived,500,10000
2,0.0,0.4,5000,10000,5,1211896659389067334,,survived,500,10000
2,0.0,0.6,5000,10000,1,8696765348108282198,,survived,500,10000
2,0.0,0.6,5000,10000,2,7383784421635476244,,survived,500,10000
2,0.0,0.6,5000,10000,3,655147938876740641,,survived,500,10000
2,0.0,0.6,5000,10000,4,-2104691766548332657,,survived,500,10000
2,0.0,0.6,5000,10000,5,3308882517680479907,,survived,500,10000
